Running object 17999
('ROW:', 17999, 'Tau:', '2.930635198725901', 'V:', '-0.5747739228920569', 'dMu:', '-0.036314921025907596')
         12253849 function calls (12171010 primitive calls) in 95.101 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2209    0.006    0.000    0.009    0.000 font_manager.py:720(__hash__)
    10461    0.006    0.000    0.006    0.000 _weakrefset.py:16(__init__)
     5921    0.006    0.000    0.029    0.000 posixpath.py:132(islink)
      480    0.006    0.000    0.008    0.000 cbook.py:1406(popall)
     1191    0.006    0.000    0.024    0.000 transforms.py:781(__init__)
     1380    0.006    0.000    0.021    0.000 core.py:1481(__init__)
     1873    0.006    0.000    0.103    0.000 backend_pdf.py:1433(writePath)
10446/10302    0.006    0.000    0.008    0.000 {issubclass}
3396/2585    0.006    0.000    0.019    0.000 {method 'format' of 'unicode' objects}
     1847    0.006    0.000    0.006    0.000 cbook.py:752(is_numlike)
     5584    0.006    0.000    0.042    0.000 _methods.py:25(_amax)
      682    0.006    0.000    0.010    0.000 artist.py:953(update_from)
    17656    0.005    0.000    0.005    0.000 {method 'iteritems' of 'dict' objects}
     2944    0.005    0.000    0.008    0.000 card.py:630(_check_if_rvkc_image)
     1878    0.005    0.000    0.048    0.000 backend_pdf.py:1425(pathOperations)
     7359    0.005    0.000    0.009    0.000 validate.py:897(is_boolean)
    11429    0.005    0.000    0.005    0.000 {iter}
       23    0.005    0.000    0.644    0.028 backend_pdf.py:1639(draw_path_collection)
    10262    0.005    0.000    0.008    0.000 card.py:463(field_specifier)
     2896    0.005    0.000    0.011    0.000 column.py:1962(_parse_tformat)
     2679    0.005    0.000    0.014    0.000 pyparsing.py:732(copy)
      668    0.005    0.000    0.151    0.000 font_manager.py:1228(findfont)
      161    0.005    0.000    0.157    0.001 lines.py:769(draw)
      232    0.005    0.000    0.011    0.000 twodim_base.py:443(vander)
      808    0.005    0.000    0.015    0.000 inspect.py:439(getsourcefile)
     5105    0.005    0.000    0.016    0.000 {any}
     5970    0.005    0.000    0.039    0.000 {method 'any' of 'numpy.ndarray' objects}
        4    0.005    0.001    0.112    0.028 __init__.py:2(<module>)
      939    0.005    0.000    0.005    0.000 {method '__reduce_ex__' of 'object' objects}
 1067/282    0.005    0.000    0.111    0.000 sre_parse.py:336(_parse_sub)
     1472    0.005    0.000    0.009    0.000 card.py:807(_split)
     4005    0.005    0.000    0.058    0.000 transforms.py:2471(composite_transform_factory)
       44    0.005    0.000    0.005    0.000 header.py:552(_find_end_card)
3427/2152    0.005    0.000    0.042    0.000 transforms.py:2322(_invalidate_internal)
     3411    0.005    0.000    0.016    0.000 artist.py:341(set_transform)
      245    0.005    0.000    0.526    0.002 text.py:739(draw)
