,filter,time,field,noise
615,z,57687.17578125,173.0,0.0018000000000000002
89,g,57688.09765625,173.0,0.0023
228,r,57688.10026597,173.0,0.0021000000000000003
376,i,57688.10233405,173.0,0.0022
616,z,57688.10546875,173.0,0.0018000000000000002
617,z,57688.109375,173.0,0.0018000000000000002
90,g,57695.078125,173.0,0.0023
229,r,57695.08063231,173.0,0.0021000000000000003
377,i,57695.08268646,173.0,0.0022
618,z,57695.0859375,173.0,0.0018000000000000002
619,z,57695.08984375,173.0,0.0018000000000000002
91,g,57696.07421875,173.0,0.0023
230,r,57696.07741483,173.0,0.0021000000000000003
378,i,57696.07947429,173.0,0.0022
620,z,57696.08203125,173.0,0.0018000000000000002
621,z,57696.0859375,173.0,0.0018000000000000002
92,g,57703.05714727,173.0,0.0023
231,r,57703.0595238,173.0,0.0021000000000000003
379,i,57703.06159305,173.0,0.0022
622,z,57703.06424441,173.0,0.0018000000000000002
623,z,57703.06640625,173.0,0.0018000000000000002
93,g,57710.03515625,173.0,0.0023
232,r,57710.03873942,173.0,0.0021000000000000003
380,i,57710.04079936,173.0,0.0022
624,z,57710.04296875,173.0,0.0018000000000000002
625,z,57710.046875,173.0,0.0018000000000000002
233,r,57714.29227507,173.0,0.0021000000000000003
381,i,57714.29433178,173.0,0.0022
626,z,57714.296875,173.0,0.0018000000000000002
627,z,57714.30078125,173.0,0.0018000000000000002
94,g,57715.125,173.0,0.0023
234,r,57715.12890625,173.0,0.0021000000000000003
95,g,57716.02734375,173.0,0.0023
235,r,57716.03125,173.0,0.0021000000000000003
628,z,57716.03515625,173.0,0.0018000000000000002
629,z,57716.0390625,173.0,0.0018000000000000002
96,g,57717.02734375,173.0,0.0023
236,r,57717.02970265,173.0,0.0021000000000000003
382,i,57717.03176245,173.0,0.0022
631,z,57717.03440953,173.0,0.0018000000000000002
630,z,57717.03704578,173.0,0.0018000000000000002
97,g,57721.05078125,173.0,0.0023
237,r,57721.05391336,173.0,0.0021000000000000003
383,i,57721.05599597,173.0,0.0022
632,z,57721.05859375,173.0,0.0018000000000000002
633,z,57721.0625,173.0,0.0018000000000000002
98,g,57722.03515625,173.0,0.0023
238,r,57722.03828316,173.0,0.0021000000000000003
384,i,57722.04034336,173.0,0.0022
634,z,57722.04296875,173.0,0.0018000000000000002
635,z,57722.046875,173.0,0.0018000000000000002
99,g,57729.05078125,173.0,0.0023
239,r,57729.05309088,173.0,0.0021000000000000003
385,i,57729.05516343,173.0,0.0022
636,z,57729.05779652,173.0,0.0018000000000000002
637,z,57729.06044972,173.0,0.0018000000000000002
100,g,57739.14453125,173.0,0.0023
240,r,57739.14718274,173.0,0.0021000000000000003
386,i,57739.14926534,173.0,0.0022
638,z,57739.15234375,173.0,0.0018000000000000002
639,z,57739.15625,173.0,0.0018000000000000002
101,g,57746.1665694,173.0,0.0023
241,r,57746.16891883,173.0,0.0021000000000000003
387,i,57746.17099091,173.0,0.0022
640,z,57746.17364453,173.0,0.0018000000000000002
641,z,57746.17578125,173.0,0.0018000000000000002
102,g,57751.04296875,173.0,0.0023
242,r,57751.04530831,173.0,0.0021000000000000003
388,i,57751.04738488,173.0,0.0022
643,z,57751.05003099,173.0,0.0018000000000000002
642,z,57751.0526798,173.0,0.0018000000000000002
103,g,57756.125,173.0,0.0023
243,r,57756.12890625,173.0,0.0021000000000000003
389,i,57756.13126504,173.0,0.0022
644,z,57756.13390264,173.0,0.0018000000000000002
645,z,57756.13671875,173.0,0.0018000000000000002
104,g,57761.06640625,173.0,0.0023
244,r,57761.0703125,173.0,0.0021000000000000003
390,i,57761.07239607,173.0,0.0022
646,z,57761.07503763,173.0,0.0018000000000000002
647,z,57761.078125,173.0,0.0018000000000000002
105,g,57770.1328125,173.0,0.0023
245,r,57770.13671875,173.0,0.0021000000000000003
391,i,57770.13901624,173.0,0.0022
648,z,57770.14167482,173.0,0.0018000000000000002
649,z,57770.14453125,173.0,0.0018000000000000002
106,g,57775.15625,173.0,0.0023
246,r,57775.15881585,173.0,0.0021000000000000003
392,i,57775.16088004,173.0,0.0022
650,z,57775.1640625,173.0,0.0018000000000000002
651,z,57775.16796875,173.0,0.0018000000000000002
107,g,57779.14283628,173.0,0.0023
247,r,57779.14519136,173.0,0.0021000000000000003
393,i,57779.14726469,173.0,0.0022
652,z,57779.14992387,173.0,0.0018000000000000002
653,z,57779.15234375,173.0,0.0018000000000000002
108,g,57784.09765625,173.0,0.0023
248,r,57784.10136093,173.0,0.0021000000000000003
394,i,57784.10342478,173.0,0.0022
654,z,57784.10546875,173.0,0.0018000000000000002
655,z,57784.109375,173.0,0.0018000000000000002
656,z,57789.0390625,173.0,0.0018000000000000002
657,z,57789.04296875,173.0,0.0018000000000000002
