make pos
run sampler
run mcmc
sampler done
log_prob plot
max theta done
corner plot
         13333904 function calls (13227073 primitive calls) in 173.155 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8706    0.015    0.000    0.015    0.000 polynomial.py:1137(_coeffs)
     1354    0.015    0.000    0.066    0.000 artist.py:45(before)
     7357    0.015    0.000    0.021    0.000 validate.py:898(is_boolean)
     1835    0.015    0.000    0.080    0.000 lines.py:1086(set_linestyle)
       94    0.015    0.000    0.015    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      103    0.015    0.000    0.015    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     3431    0.015    0.000    0.061    0.000 artist.py:884(<listcomp>)
      634    0.014    0.000    0.029    0.000 inspect.py:2678(__init__)
  949/902    0.014    0.000    0.032    0.000 transforms.py:2567(get_matrix)
      770    0.014    0.000    0.162    0.000 markers.py:707(_set_tickright)
     1745    0.014    0.000    0.035    0.000 shape_base.py:25(atleast_1d)
      680    0.014    0.000    0.108    0.000 markers.py:721(_set_tickdown)
  809/211    0.014    0.000    0.363    0.002 sre_parse.py:407(_parse_sub)
     4978    0.014    0.000    0.049    0.000 artist.py:74(_stale_axes_callback)
    12732    0.014    0.000    0.045    0.000 pyparsing.py:272(__new__)
     2920    0.014    0.000    0.272    0.000 card.py:576(_check_if_rvkc)
  420/146    0.014    0.000    0.513    0.004 pyparsing.py:2653(parseImpl)
     3670    0.014    0.000    0.028    0.000 lines.py:1054(_split_drawstyle_linestyle)
     1452    0.014    0.000    0.051    0.000 util.py:96(_add_listener)
    22119    0.014    0.000    0.014    0.000 {method 'rstrip' of 'str' objects}
    20490    0.013    0.000    0.013    0.000 {method 'lower' of 'str' objects}
     5672    0.013    0.000    0.072    0.000 colors.py:107(_is_nth_color)
       60    0.013    0.000    0.827    0.014 axis.py:961(_update_ticks)
     2353    0.013    0.000    0.013    0.000 {built-in method numpy.can_cast}
     4350    0.013    0.000    0.013    0.000 {method 'astype' of 'numpy.ndarray' objects}
      347    0.013    0.000    0.080    0.000 posixpath.py:391(_joinrealpath)
      242    0.013    0.000    0.377    0.002 text.py:932(get_window_extent)
     1290    0.013    0.000    0.018    0.000 font_manager.py:885(set_size)
    17006    0.013    0.000    0.013    0.000 {method 'group' of '_sre.SRE_Match' objects}
      289    0.013    0.000    0.261    0.001 axis.py:440(_get_gridline)
      368    0.013    0.000    0.025    0.000 transforms.py:2550(__init__)
     4646    0.013    0.000    0.013    0.000 {method 'setdefault' of 'dict' objects}
     4240    0.013    0.000    0.092    0.000 fromnumeric.py:942(argsort)
    18026    0.013    0.000    0.013    0.000 {method 'strip' of 'str' objects}
   958/15    0.013    0.000    4.999    0.333 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
      230    0.013    0.000    0.017    0.000 contextlib.py:60(__init__)
    10545    0.013    0.000    0.013    0.000 {method 'remove' of 'set' objects}
     6940    0.013    0.000    0.013    0.000 {method 'extend' of 'list' objects}
      401    0.013    0.000    0.013    0.000 ensemble.py:388(<listcomp>)
     7141    0.013    0.000    0.013    0.000 {method 'pop' of 'dict' objects}
       19    0.012    0.001    0.013    0.001 {method 'readlines' of '_io._IOBase' objects}
      144    0.012    0.000    0.053    0.000 utils.py:42(_iter_unit_summary)
     1454    0.012    0.000    0.085    0.000 __init__.py:909(__setitem__)
     2523    0.012    0.000    0.012    0.000 {method 'copy' of 'numpy.ndarray' objects}
      551    0.012    0.000    0.326    0.001 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     1472    0.012    0.000    0.123    0.000 header.py:1125(append)
      315    0.012    0.000    0.140    0.000 axis.py:531(_get_text2)
       82    0.012    0.000    0.069    0.001 backend_pdf.py:596(endStream)
    15877    0.012    0.000    0.072    0.000 numeric.py:541(asanyarray)
     7031    0.012    0.000    0.012    0.000 path.py:273(should_simplify)
     1520    0.012    0.000    0.012    0.000 core.py:1613(_inject)
        2    0.012    0.006    0.879    0.440 column.py:1251(_init_from_table)
      401    0.012    0.000    0.012    0.000 ensemble.py:382(<listcomp>)
      353    0.012    0.000    0.017    0.000 core.py:2905(_update_from)
     1137    0.012    0.000    0.053    0.000 font_manager.py:996(make_rcparams_key)
      493    0.012    0.000    0.054    0.000 ticker.py:1695(_staircase)
     1472    0.011    0.000    0.014    0.000 column.py:1430(__getitem__)
      719    0.011    0.000    0.108    0.000 sre_compile.py:223(_compile_charset)
     2971    0.011    0.000    0.011    0.000 core.py:2109(<listcomp>)
    10897    0.011    0.000    0.011    0.000 {method 'update' of 'dict' objects}
     1451    0.011    0.000    0.077    0.000 transforms.py:781(__init__)
        8    0.011    0.001    0.011    0.001 _axes.py:2934(<listcomp>)
     1835    0.011    0.000    0.014    0.000 lines.py:1210(set_markerfacecoloralt)
      430    0.011    0.000    0.523    0.001 font_manager.py:914(set_fontconfig_pattern)
     2397    0.011    0.000    0.011    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      656    0.011    0.000    0.014    0.000 <frozen importlib._bootstrap>:304(__exit__)
        4    0.011    0.003    0.164    0.041 header.py:325(fromstring)
    10262    0.011    0.000    0.016    0.000 card.py:459(field_specifier)
     1990    0.011    0.000    0.011    0.000 pyparsing.py:407(haskeys)
     2690    0.011    0.000    0.040    0.000 transforms.py:1770(transform_point)
      480    0.011    0.000    0.023    0.000 cbook.py:1406(popall)
       50    0.011    0.000    2.098    0.042 collections.py:281(draw)
       80    0.011    0.000    0.072    0.001 traceback.py:313(extract)
     1514    0.011    0.000    0.013    0.000 fitsrec.py:588(_coldefs)
      169    0.010    0.000    0.010    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
     5222    0.010    0.000    0.011    0.000 {built-in method builtins.max}
